    ,Item Type,Publication Year,Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Title,key,Abstract,doi url,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Pages,Begin Page,End Page,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Series,Publisher,Place,Language,Archive,Library Catalog,Extra,Notes,Publication Type 2,File Attachments,Manual Tags,Editor,Meeting Name,Meeting Location,Conference Name
KEVA2KIY,journalArticle,1974,"Saltarelli, Mario","Saltarelli, Mario",,,,,,Reference and Mood in Italian.,Reference And Mood In Italian.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304125&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:11,203-218,203,218,15,265 pp.,,,,,,,,mzh,EBSCOhost,38,<p>Accession Number: 1975304125. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
SLBYX8CH,journalArticle,1974,"Szabo, Robert K.","Szabo, Robert K.",,,,,,Deep and Surface Order of the Spanish Clitics.,Deep And Surface Order Of The Spanish Clitics.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304099&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:10,139-145,139,145,6,265 pp.,,,,,,,,mzh,EBSCOhost,14,<p>Accession Number: 1975304099. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
8U4JAK3E,journalArticle,1974,"Suner, Margarita","Suñer, Margarita",,,,,,Where Does Impersonal Se Come From?,Where Does Impersonal Se Come From?,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304098&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,146-157,146,157,11,265 pp.,,,,,,,,mzh,EBSCOhost,30,<p>Accession Number: 1975304098. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
MZ9LYK6A,journalArticle,1974,"Roldan, Mercedes","Roldan, Mercedes",,,,,,Constraints on Clitic Insertion in Spanish.,Constraints On Clitic Insertion In Spanish.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304091&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,124-138,124,138,14,265 pp.,,,,,,,,mzh,EBSCOhost,26,<p>Accession Number: 1975304091. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
UIMAXG22,journalArticle,1974,"Rivero, Maria-Luisa","Rivero, María-Luisa",,,,,,Definite and Indefinite NP's in Spanish.,Definite And Indefinite Np's In Spanish.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304089&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,189-202,189,202,13,265 pp.,,,,,,,,mzh,EBSCOhost,11,<p>Accession Number: 1975304089. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
F9EQT9S8,journalArticle,1974,"Lujan, Marta","Luján, Marta",,,,,,Prenominal Adjectives in Spanish Predicates.,Prenominal Adjectives In Spanish Predicates.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304081&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,178-188,178,188,10,265 pp.,,,,,,,,mzh,EBSCOhost,3,<p>Accession Number: 1975304081. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
5NRA7Z2S,journalArticle,1974,"Saciuk, Bohdan","Saciuk, Bohdan",,,,,,Spanish Stress and Language Change.,Spanish Stress And Language Change.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975304058&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:11,28-37,28,37,9,265 pp.,,,,,,,,mzh,EBSCOhost,2,<p>Accession Number: 1975304058. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
YE4KCVU8,journalArticle,1974,"Harris, James W.","Harris, James W.",,,,,,Morphologization of Phonological Rules: An Example from Chicano Spanish.,Morphologization Of Phonological Rules: An Example From Chicano Spanish.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303955&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,8-27,8,27,19,265 pp.,,,,,,,,mzh,EBSCOhost,0,<p>Accession Number: 1975303955. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
7JZIEW7E,journalArticle,1974,"Pavel, Thomas","Pavel, Thomas",,,,,,"On Restrictive and Nonrestrictive Relative Clauses, with Reference to French and Romanian.","On Restrictive And Nonrestrictive Relative Clauses, With Reference To French And Romanian.",,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303832&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,254-265,254,265,11,265 pp.,,,,,,,,mzh,EBSCOhost,0,<p>Accession Number: 1975303832. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
TD3N79XY,journalArticle,1974,"Long, Mark E.","Long, Mark E.",,,,,,Prepositions and Propositions: Some Remarks on French Infinitives.,Prepositions And Propositions: Some Remarks On French Infinitives.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303819&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:11,237-253,237,253,16,265 pp.,,,,,,,,mzh,EBSCOhost,4,<p>Accession Number: 1975303819. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
7YDCDLWG,journalArticle,1974,"Schane, Sanford A.","Schane, Sanford A.",,,,,,There Is No Truncation Rule.,There Is No Truncation Rule.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303743&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:11,89-99,89,99,10,265 pp.,,,,,,,,mzh,EBSCOhost,23,<p>Accession Number: 1975303743. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
3WWK87JQ,journalArticle,1974,"Domingue, Nicole Z.","Domingue, Nicole Z.",,,,,,How Can We Include Considerations of Style in a Phonological Description?: The French E Muet (Again).,How Can We Include Considerations Of Style In A Phonological Description?: The French E Muet (again).,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303722&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,73-88,73,88,15,265 pp.,,,,,,,,mzh,EBSCOhost,0,<p>Accession Number: 1975303722. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
BNPP3IF5,journalArticle,1974,"Valdman, Albert","Valdman, Albert",,,,,,Long Vowels and Underlying Postvocalic r in Creole French.,Long Vowels And Underlying Postvocalic R In Creole French.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303617&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,60-72,60,72,12,265 pp.,,,,,,,,mzh,EBSCOhost,0,<p>Accession Number: 1975303617. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
WRSFVKPG,journalArticle,1974,"Detrich, E. Dean","Detrich, E. Dean",,,,,,Some Evidence for the Use of Diachronic Information in Nissart Phonology.,Some Evidence For The Use Of Diachronic Information In Nissart Phonology.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303582&site=ehost-live,1974,10/31/19 13:56,10/31/19 13:56,50-59,50,59,9,265 pp.,,,,,,,,mzh,EBSCOhost,0,<p>Accession Number: 1975303582. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
D3HNK8VL,journalArticle,1974,"Hamp, Eric P.","Hamp, Eric P.",,,,,,On the Conditioned Loss and Restitution of Latin -s.,On The Conditioned Loss And Restitution Of Latin -s.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303447&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:10,1-7,1,7,6,265 pp.,,,,,,,,mzh,EBSCOhost,2,<p>Accession Number: 1975303447. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
5XG7W6EX,journalArticle,1974,"Wanner, Dieter","Wanner, Dieter",,,,,,The Evolution of Romance Clitic Order.,The Evolution Of Romance Clitic Order.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975303426&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:11,158-177,158,177,19,265 pp.,,,,,,,,mzh,EBSCOhost,38,<p>Accession Number: 1975303426. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
JQ5HHKGV,journalArticle,1974,"Brown, Gregory K.","Brown, Gregory K.",,,,,,A Link for Push and Drag Chains.,A Link For Push And Drag Chains.,,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975302400&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:10,38-49,38,49,11,265 pp.,,,,,,,,mzh,EBSCOhost,1,<p>Accession Number: 1975302400. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
6DZF45TB,journalArticle,1974,"Casagrande, Jean","Casagrande, Jean",,,,,,"Dime con quien andas, decirte he quien eres, or the Role of Linguists in Language Departments.","Dime Con Quien Andas, Decirte He Quien Eres, Or The Role Of Linguists In Language Departments.",,,Linguistic Studies in Romance Languages:Proceedings of the Third Linguistic Symposium on Romance Languages.,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1975300378&site=ehost-live,1974,10/31/19 13:56,10/31/19 14:10,100-123,100,123,23,265 pp.,,,,,,,,mzh,EBSCOhost,4,<p>Accession Number: 1975300378. Publication Type: book article. Language: English. Update Code: 197501.</p>,book article,,,"Campbell, R. Joe",LSRL03,Indiana University,Linguistic Symposium on Romance Languages
RUT3MXHK,journalArticle,1976,"Rankin, Robert L.","Rankin, Robert L.",,,,,,"Latin kw, gw - Rumanian p, b: An Explanation","Latin Kw, Gw - Rumanian P, B: An Explanation",,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304702&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,14-26,14,26,12,400 pp.,,,,,,,,mzh,EBSCOhost,6,"<p>Accession Number: 1976304702. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
XBYLZQ9N,journalArticle,1976,"Napoli, Donna Jo","Napoli, Donna Jo",,,,,,Infinitival Relatives in Italian,Infinitival Relatives In Italian,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304650&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,300-329,300,329,29,400 pp.,,,,,,,,mzh,EBSCOhost,22,"<p>Accession Number: 1976304650. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
WSHTL6ZV,journalArticle,1976,"Terrell, Tracy D.","Terrell, Tracy D.",,,,,,Assertion and Presupposition in Spanish Complements,Assertion And Presupposition In Spanish Complements,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304530&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:12,221-245,221,245,24,400 pp.,,,,,,,,mzh,EBSCOhost,78,"<p>Accession Number: 1976304530. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
PP5SA48E,journalArticle,1976,"Rivero, Maria-Luisa","Rivero, María-Luisa",,,,,,Saber: Toward a Grammar of Knowledge in Spanish,Saber: Toward A Grammar Of Knowledge In Spanish,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304525&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,246-254,246,254,8,400 pp.,,,,,,,,mzh,EBSCOhost,2,"<p>Accession Number: 1976304525. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
MUSQ7QT8,journalArticle,1976,"Lujan, Marta","Luján, Marta",,,,,,The Analysis of Reflexive Inchoatives,The Analysis Of Reflexive Inchoatives,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304520&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,377-387,377,387,10,400 pp.,,,,,,,,mzh,EBSCOhost,8,"<p>Accession Number: 1976304520. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
5GL8EPI4,journalArticle,1976,"Goldin, Mark G.","Goldin, Mark G.",,,,,,Spanish Be Predicates and the Feature 'State' vs. 'Action',Spanish Be Predicates And The Feature 'state' Vs. 'action',,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304510&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,367-376,367,376,9,400 pp.,,,,,,,,mzh,EBSCOhost,2,"<p>Accession Number: 1976304510. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
3RUAVFTQ,journalArticle,1976,"Contreras, Heles","Contreras, Heles",,,,,,Theme and Rheme in Spanish Syntax,Theme And Rheme In Spanish Syntax,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304507&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:14,330-342,330,342,12,400 pp.,,,,,,,,mzh,EBSCOhost,21,"<p>Accession Number: 1976304507. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
XBA58WI8,journalArticle,1976,"Schane, Sanford A.","Schane, Sanford A.",,,,,,Truncation and Stress in Spanish,Truncation And Stress In Spanish,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304486&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:14,50-62,50,62,12,400 pp.,,,,,,,,mzh,EBSCOhost,10,"<p>Accession Number: 1976304486. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
7TIPKBY9,journalArticle,1976,"Malkiel, Yakov","Malkiel, Yakov",,,,,,In Search of 'Penultimate' Causes of Language Change: Studies in the Avoidance of /z/ in Proto-Spanish,In Search Of 'penultimate' Causes Of Language Change: Studies In The Avoidance Of /z/ In Proto-spanish,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304479&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,27-36,27,36,9,400 pp.,,,,,,,,mzh,EBSCOhost,4,"<p>Accession Number: 1976304479. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
9MP3JWKI,journalArticle,1976,"Quicoli, A. Carlos","Quicoli, A. Carlos",,,,,,Missing Subjects in Portugese,Missing Subjects In Portugese,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304355&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,100-143,100,143,43,400 pp.,,,,,,,,mzh,EBSCOhost,10,"<p>Accession Number: 1976304355. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
4MK6UESQ,journalArticle,1976,"Querido, Antonio A. M.","Querido, Antonio A. M.",,,,,,The Semantics of Copulative Constructions in Portuguese,The Semantics Of Copulative Constructions In Portuguese,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304353&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:14,343-366,343,366,23,400 pp.,,,,,,,,mzh,EBSCOhost,41,"<p>Accession Number: 1976304353. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
M978TSPZ,journalArticle,1976,"Ruwet, Nicholas","Ruwet, Nicholas",,,,,,Subject-Raising and Extraposition,Subject-raising And Extraposition,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304306&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,162-204,162,204,42,400 pp.,,,,,,,,mzh,EBSCOhost,22,"<p>Accession Number: 1976304306. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
X4BSKSIS,journalArticle,1976,"Long, Mark E.","Long, Mark E.",,,,,,French Infinitival Complementizers and Their Place in a Generative Grammar,French Infinitival Complementizers And Their Place In A Generative Grammar,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304293&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:12,205-220,205,220,15,400 pp.,,,,,,,,mzh,EBSCOhost,7,"<p>Accession Number: 1976304293. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
MKKZGI2A,journalArticle,1976,"Kayne, Richard S.","Kayne, Richard S.",,,,,,French Relative Que,French Relative Que,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304288&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,255-299,255,299,44,400 pp.,,,,,,,,mzh,EBSCOhost,340,"<p>Accession Number: 1976304288. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
XWVCJYCS,journalArticle,1976,"Fauconnier, Gilles","Fauconnier, Gilles",,,,,,Complement Subject Deletion and the Analysis of Menacer,Complement Subject Deletion And The Analysis Of Menacer,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304272&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:12,144-161,144,161,17,400 pp.,,,,,,,,mzh,EBSCOhost,4,"<p>Accession Number: 1976304272. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
M2V7CDW7,journalArticle,1976,"Detrich, E. Dean","Detrich, E. Dean",,,,,,Doing Things Over in French,Doing Things Over In French,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304269&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:12,76-87,76,87,11,400 pp.,,,,,,,,mzh,EBSCOhost,2,"<p>Accession Number: 1976304269. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
3CM2KFN5,journalArticle,1976,"Morin, Yves-Charles","Morin, Yves-Charles",,,,,,Phonological Tensions in French,Phonological Tensions In French,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304209&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:13,37-49,37,49,12,400 pp.,,,,,,,,mzh,EBSCOhost,9,"<p>Accession Number: 1976304209. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
FKXTWLH9,journalArticle,1976,"Escure, Genevieve","Escure, Genevieve",,,,,,Vowel-Lengthening in French,Vowel-lengthening In French,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976304197&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:01,63-75,63,75,12,400 pp.,,,,,,,,mzh,EBSCOhost,0,"<p>Accession Number: 1976304197. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
XJKHHTUI,journalArticle,1976,"Redenbarger, Wayne J.","Redenbarger, Wayne J.",,,,,,Vowel-Lowering and i-Epenthesis in Classical Latin,Vowel-lowering And I-epenthesis In Classical Latin,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976303966&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:14,1-13,1,13,12,400 pp.,,,,,,,,mzh,EBSCOhost,6,"<p>Accession Number: 1976303966. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
LKDKAGUN,journalArticle,1976,"Saltarelli, Mario","Saltarelli, Mario",,,,,,Theoretical Implications in the Development of Accusatiuus Cum Infinitiuo Constructions,Theoretical Implications In The Development Of Accusatiuus Cum Infinitiuo Constructions,,,Current Studies in Romance Linguistics,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1976303918&site=ehost-live,1976,10/31/19 14:01,10/31/19 14:14,88-99,88,99,11,400 pp.,,,,,,,,mzh,EBSCOhost,12,"<p>Accession Number: 1976303918. Title Page Note: Papers from Texas Symposium on Romance Ling., Univ. of Texas, 1974 Publication Type: book article. Language: English. Update Code: 197601.</p>",book article,,,"Lujan, Marta",LSRL04,University of Texas,Linguistic Symposium on Romance Languages
